patients,evening_weekend,would_rec,n_asked,practice_id
5896,YES,NA,NA,40826
8755,YES,65%,54,44782
2683,YES,NA,NA,38097
7534,YES,94%,17,39413
2758,YES,NA,NA,42127
6141,YES,NA,NA,43683
2330,YES,NA,NA,39107
13153,YES,92%,635,44209
2330,YES,NA,NA,39122
10567,YES,NA,NA,39419
4679,YES,94%,31,35167
1739,YES,89%,9,35674
4199,YES,NA,NA,42707
4112,YES,NA,NA,36422
4796,YES,NA,NA,35905
8099,YES,80%,267,38368
12827,YES,74%,84,39431
11666,YES,92%,541,35243
3019,YES,92%,62,35689
9082,YES,100%,14,42999
5103,YES,NA,NA,41984
4877,YES,NA,NA,45091
2760,YES,NA,NA,36597
3823,YES,NA,NA,37379
15607,YES,86%,97,42899
5324,YES,NA,NA,41477
8090,YES,94%,32,42099
6835,YES,NA,NA,41759
12069,YES,97%,807,35840
8414,YES,NA,NA,42185
3931,YES,82%,22,35918
2714,YES,88%,17,36753
14423,YES,NA,NA,35664
2988,YES,100%,5,38757
4062,YES,NA,NA,38119
5518,YES,NA,NA,43472
6494,YES,98%,62,44467
4312,YES,100%,18,40782
11596,NA,100%,8,151895
9498,YES,NA,NA,36140
10262,YES,100%,12,38187
2836,YES,83%,6,44792
3887,YES,100%,11,37770
16391,YES,NA,NA,35752
2919,YES,NA,NA,39455
6523,YES,NA,NA,41577
3066,YES,NA,NA,44724
12803,YES,83%,6,40190
2920,YES,NA,NA,36149
3712,YES,NA,NA,40412
7579,YES,91%,129,38196
2853,YES,NA,NA,42328
2594,YES,88%,80,37993
2683,YES,NA,NA,44918
2474,YES,NA,NA,41311
2782,YES,NA,NA,43592
2302,YES,NA,NA,43028
2673,YES,NA,NA,42811
4469,YES,NA,NA,119900
3527,YES,NA,NA,38596
2835,YES,NA,NA,39564
3952,YES,NA,NA,37977
5434,YES,93%,122,43311
6485,YES,NA,NA,42815
3009,YES,98%,108,40871
12589,YES,91%,391,43953
6013,YES,NA,NA,36066
3747,YES,NA,NA,36048
3301,YES,NA,NA,44957
1639,YES,NA,NA,36182
8968,YES,NA,NA,42716
12971,YES,79%,212,40181
6126,YES,NA,NA,40220
2140,YES,NA,NA,37627
6774,YES,NA,NA,36378
4715,YES,NA,NA,39159
6167,YES,82%,11,36141
15991,YES,NA,NA,36874
4750,YES,93%,159,35211
4750,YES,93%,159,40556
11929,YES,78%,37,39597
11929,YES,78%,37,39772
12007,YES,90%,321,42992
12007,YES,90%,321,41006
12007,YES,90%,321,36001
6928,YES,98%,48,36999
7021,YES,70%,43,38621
5990,YES,NA,NA,36926
8769,NA,NA,NA,151991
12376,YES,NA,NA,42297
1792,YES,100%,17,42481
3549,YES,NA,NA,39997
2581,YES,92%,13,39886
4806,YES,100%,20,42169
11725,NA,82%,11,151982
16637,YES,97%,31,36930
10888,YES,NA,NA,39936
4180,YES,98%,50,42530
3565,YES,NA,NA,40197
5685,YES,NA,NA,37691
3297,YES,95%,19,36355
2885,YES,95%,189,41838
3875,YES,100%,10,43852
3640,YES,98%,42,35825
4233,YES,75%,12,40947
3679,YES,NA,NA,38722
4609,YES,79%,338,38599
5281,YES,90%,21,43489
3362,YES,98%,135,36567
5135,YES,96%,174,38055
8575,YES,NA,NA,39353
3173,NA,NA,NA,153400
3297,YES,NA,NA,39587
13252,YES,NA,NA,41369
1577,YES,NA,NA,44240
6401,YES,NA,NA,43383
5593,YES,NA,NA,40628
2433,YES,NA,NA,39312
2759,YES,86%,7,40343
4184,YES,91%,117,45037
9941,YES,100%,14,43612
5682,YES,NA,NA,44750
3736,YES,NA,NA,39277
14207,YES,65%,77,44287
1632,YES,NA,NA,40393
5568,YES,NA,NA,44469
3152,YES,NA,NA,42437
5963,YES,NA,NA,43369
8120,YES,NA,NA,39190
10620,YES,NA,NA,39844
5707,YES,NA,NA,35193
2372,YES,82%,11,43517
6302,YES,NA,NA,39318
4252,YES,77%,70,40976
1953,YES,100%,7,44597
4920,YES,NA,NA,40611
11680,YES,NA,NA,42031
14137,YES,90%,130,35455
2655,YES,88%,41,41911
6740,YES,96%,23,37620
12632,YES,NA,NA,38021
12468,YES,92%,449,42320
1520,YES,NA,NA,42404
13960,YES,NA,NA,46151
2102,YES,NA,NA,42278
3781,YES,99%,143,38430
3046,YES,NA,NA,39394
7234,YES,NA,NA,39497
2032,YES,86%,7,38825
4899,YES,100%,10,42317
2295,YES,40%,5,42325
3796,YES,NA,NA,44979
1520,YES,100%,19,40562
9092,NA,NA,NA,151873
8576,YES,78%,9,35668
8576,YES,78%,9,44447
8576,YES,78%,9,44830
3809,YES,NA,NA,37920
7419,YES,82%,45,37505
3458,YES,NA,NA,44282
4525,YES,72%,99,43915
2277,YES,NA,NA,40191
5588,YES,NA,NA,37142
15288,YES,88%,254,35514
9801,YES,NA,NA,37260
13048,YES,95%,41,41670
10708,YES,99%,83,43068
4968,YES,NA,NA,41357
11077,YES,NA,NA,36490
4510,YES,96%,25,41464
7734,YES,88%,326,37669
3191,YES,NA,NA,42289
13268,YES,NA,NA,38083
9358,YES,NA,NA,42131
3534,YES,95%,265,44569
3778,YES,NA,NA,35636
5223,YES,93%,126,38330
14656,YES,93%,114,35241
6089,YES,NA,NA,37152
9339,YES,96%,199,35920
22815,YES,NA,NA,35867
9304,YES,100%,6,42385
7969,YES,90%,50,37288
9089,YES,71%,7,39032
1473,YES,95%,19,44105
13041,YES,NA,NA,42329
6923,YES,NA,NA,42790
5965,YES,100%,27,41858
1929,YES,NA,NA,37519
18680,YES,78%,9,43700
3227,YES,NA,NA,41198
2573,YES,82%,11,41485
6268,YES,95%,56,36386
5427,YES,NA,NA,41308
4195,YES,NA,NA,37677
8884,YES,90%,50,35229
84819,NA,NA,NA,43149
1833,YES,100%,10,42965
3506,NA,NA,NA,151920
1801,YES,NA,NA,44132
10286,YES,91%,224,41861
2142,YES,63%,8,41156
7352,YES,NA,NA,44211
3542,YES,NA,NA,39927
20492,YES,95%,131,38870
12481,YES,NA,NA,37946
6420,YES,NA,NA,45017
13233,YES,NA,NA,44470
11127,YES,NA,NA,38549
11573,NA,91%,318,151883
8747,YES,NA,NA,41993
6927,YES,NA,NA,38758
5448,YES,NA,NA,43995
3831,YES,83%,64,40486
3831,YES,83%,64,37986
5413,YES,100%,15,35864
7409,YES,NA,NA,41966
2185,YES,NA,NA,36741
4522,YES,62%,21,40527
3451,YES,NA,NA,39964
5929,YES,NA,NA,45150
2565,YES,NA,NA,43430
15823,NA,NA,NA,151853
10829,YES,100%,9,36211
3968,YES,NA,NA,42893
5038,YES,95%,190,38060
5904,NA,NA,NA,151897
5211,YES,94%,68,36901
14147,YES,71%,93,39829
9577,YES,NA,NA,42045
13202,YES,NA,NA,41101
13202,YES,NA,NA,37817
3277,YES,78%,32,44904
2678,YES,100%,14,36285
4416,YES,NA,NA,35554
5258,YES,NA,NA,40442
19833,NA,87%,52,151852
3576,YES,NA,NA,40433
6336,NA,81%,95,151854
18182,YES,94%,626,41182
10234,YES,NA,NA,39806
4094,YES,86%,112,40244
4328,YES,78%,86,35326
4324,YES,100%,9,42706
7966,YES,86%,22,44945
5784,NA,93%,14,151813
5784,NA,93%,14,151814
5784,YES,93%,14,38005
4751,YES,NA,NA,43725
9044,YES,NA,NA,44771
4999,YES,NA,NA,35775
4024,YES,97%,35,40413
6626,YES,NA,NA,36606
6368,YES,63%,8,43320
6452,YES,NA,NA,39864
6267,YES,99%,92,44290
3544,YES,97%,64,35185
9124,YES,90%,10,44229
3484,YES,100%,7,41981
9059,YES,NA,NA,40523
4830,YES,NA,NA,44798
7176,YES,90%,50,44452
4178,YES,100%,12,35449
3610,YES,84%,19,44702
8121,YES,96%,25,38541
8968,YES,NA,NA,37712
6780,YES,100%,6,43061
5987,YES,NA,NA,38672
4370,YES,NA,NA,43785
6009,YES,96%,51,38586
5759,YES,NA,NA,44884
7129,YES,NA,NA,36596
7137,YES,NA,NA,44929
5692,YES,NA,NA,38221
11462,YES,90%,67,45107
7214,YES,96%,77,43931
8005,YES,89%,136,36253
5630,YES,NA,NA,39840
6519,YES,NA,NA,42350
12048,YES,90%,31,44926
3173,YES,NA,NA,41259
2996,YES,NA,NA,36659
5371,YES,NA,NA,39539
6979,YES,NA,NA,38458
4472,YES,NA,NA,40381
5939,YES,NA,NA,41682
5964,YES,NA,NA,38781
6161,YES,NA,NA,40458
5625,YES,NA,NA,36108
10405,YES,NA,NA,36498
7025,YES,NA,NA,41089
8685,YES,NA,NA,40240
9065,YES,94%,108,39498
7013,YES,NA,NA,40211
10093,YES,NA,NA,42192
4308,YES,NA,NA,36767
10899,YES,NA,NA,37430
3315,YES,100%,74,35850
63880,YES,NA,NA,117198
2586,YES,88%,8,43881
7257,YES,73%,11,42445
9729,YES,94%,296,43986
10887,YES,93%,60,43673
8993,YES,NA,NA,40451
24325,YES,65%,100,36230
10110,YES,86%,122,40577
7836,YES,86%,7,39166
13326,YES,NA,NA,42646
13326,YES,NA,NA,35453
19411,YES,64%,11,43192
5264,YES,NA,NA,41902
6729,YES,96%,76,40341
6453,YES,86%,7,36331
5212,YES,NA,NA,37525
9100,YES,89%,36,42287
13889,YES,92%,540,39679
7519,YES,NA,NA,40807
9608,YES,100%,12,41870
12751,YES,83%,40,42675
12340,YES,94%,136,38182
4669,YES,100%,10,41891
13447,YES,NA,NA,36656
2240,YES,NA,NA,35816
10391,YES,92%,290,43399
2105,YES,NA,NA,42989
9652,YES,NA,NA,44434
4208,YES,NA,NA,38080
9521,YES,NA,NA,39808
17474,YES,91%,581,42579
5943,YES,NA,NA,35235
6046,YES,NA,NA,38893
4012,YES,NA,NA,38468
12787,YES,91%,255,37139
15023,YES,NA,NA,41917
14548,YES,75%,48,38312
16081,YES,92%,282,40284
15978,YES,67%,6,35669
7861,YES,91%,64,44547
11521,YES,67%,6,36142
7325,YES,NA,NA,41176
7054,YES,95%,58,37174
15775,YES,NA,NA,35853
8834,YES,NA,NA,35697
20110,YES,NA,NA,41569
10002,YES,91%,11,113074
18283,YES,56%,16,41537
6203,YES,85%,61,39175
7925,YES,NA,NA,36233
8366,YES,95%,38,37805
9060,YES,89%,53,41548
14601,YES,NA,NA,37125
10392,YES,NA,NA,38991
30623,YES,85%,828,45177
30623,YES,85%,828,119919
30623,YES,85%,828,45176
14383,NA,92%,59,152001
14383,YES,92%,59,42247
12080,YES,NA,NA,44627
8185,YES,NA,NA,42656
16359,YES,NA,NA,35844
11006,YES,NA,NA,41826
2401,YES,NA,NA,37552
7750,YES,50%,6,41899
8447,YES,NA,NA,37969
10533,YES,73%,11,40574
10533,YES,73%,11,43405
5556,YES,93%,54,38732
3984,YES,NA,NA,37060
15171,YES,98%,802,40686
13269,YES,87%,342,43132
13269,NA,87%,342,152892
4062,YES,86%,49,35637
16982,NA,91%,658,151978
3358,YES,100%,9,38452
8300,YES,100%,6,37277
37010,YES,87%,194,43303
14030,YES,NA,NA,44988
8184,YES,NA,NA,35346
12159,YES,NA,NA,39747
12609,YES,NA,NA,36790
2812,YES,NA,NA,41920
11596,YES,NA,NA,40608
5469,YES,91%,58,43201
44157,YES,NA,NA,38075
5211,YES,NA,NA,40962
5833,YES,NA,NA,39856
2394,YES,NA,NA,42532
6682,YES,NA,NA,41554
10418,YES,89%,84,36625
7935,YES,NA,NA,41265
19591,YES,92%,183,39016
63880,YES,NA,NA,36441
2094,YES,NA,NA,40006
2946,YES,70%,23,35666
11992,YES,NA,NA,39818
8556,YES,NA,NA,44302
5338,YES,NA,NA,35727
3339,YES,73%,15,39252
8714,YES,NA,NA,40224
3686,YES,NA,NA,38742
4023,YES,NA,NA,41166
8355,YES,NA,NA,38567
14918,YES,87%,94,39340
8756,YES,100%,10,35796
9886,YES,NA,NA,36660
3621,YES,98%,47,43625
12494,YES,NA,NA,40563
12025,YES,85%,475,43806
1575,YES,NA,NA,39392
9230,YES,NA,NA,38421
4951,YES,96%,25,44475
3064,YES,98%,97,41743
9623,YES,68%,34,35846
15828,YES,89%,197,43027
8107,YES,96%,809,44651
14685,YES,88%,216,36020
5874,YES,NA,NA,42860
18138,YES,NA,NA,101568
4384,YES,92%,64,35340
2394,YES,NA,NA,41001
6697,YES,NA,NA,36558
11440,YES,NA,NA,131874
7194,YES,92%,13,35973
12028,YES,85%,284,37641
9185,YES,NA,NA,35863
7637,YES,NA,NA,37778
10812,YES,100%,14,40555
4955,YES,79%,33,38734
18289,YES,NA,NA,40740
14829,YES,84%,4156,43309
9478,YES,93%,304,35830
7648,YES,100%,6,45106
27294,YES,93%,132,36526
5973,YES,NA,NA,40232
4729,YES,NA,NA,35408
5239,YES,81%,52,41291
13240,YES,80%,5,44272
12999,YES,95%,99,38439
11201,YES,95%,660,37186
4945,YES,NA,NA,42209
8972,YES,75%,121,37376
8936,YES,NA,NA,37658
19004,YES,94%,66,39378
5338,YES,NA,NA,40297
8288,YES,93%,70,41847
7020,YES,96%,462,39569
5179,YES,100%,13,36728
7288,YES,NA,NA,44841
5409,YES,NA,NA,38916
4600,YES,NA,NA,42332
9882,YES,NA,NA,43631
15311,NA,NA,NA,151960
NA,YES,NA,NA,141759
18876,NA,NA,NA,152086
9011,YES,100%,13,40272
14636,YES,NA,NA,44340
8341,YES,NA,NA,44990
13789,YES,95%,702,36485
6962,YES,91%,121,44311
3780,YES,NA,NA,44574
6699,YES,NA,NA,42852
17219,YES,91%,162,41725
17219,YES,91%,162,36154
5664,YES,85%,52,37820
8928,YES,92%,251,42064
4644,YES,100%,5,39930
7144,YES,NA,NA,41671
7144,YES,NA,NA,44672
7144,YES,NA,NA,43740
9023,NA,NA,NA,151939
18580,YES,NA,NA,43181
11733,YES,43%,7,39779
11951,YES,95%,776,43569
6988,YES,100%,18,37994
12861,YES,96%,128,35680
6671,YES,NA,NA,45045
12552,YES,91%,360,35833
24187,YES,90%,182,39396
3725,YES,NA,NA,36450
28095,YES,NA,NA,39866
13363,YES,96%,75,42475
10296,YES,NA,NA,43730
7895,YES,95%,20,45038
NA,YES,NA,NA,38224
63880,YES,NA,NA,38390
11161,YES,80%,5,128369
31074,YES,NA,NA,44768
2666,YES,98%,59,37520
6138,YES,100%,13,37724
11106,YES,NA,NA,37486
2028,YES,67%,6,36103
13923,YES,NA,NA,42471
NA,YES,NA,NA,136028
8498,YES,NA,NA,39955
10285,YES,NA,NA,35855
12627,YES,38%,32,36880
5489,YES,95%,116,36919
2670,YES,NA,NA,43628
3289,YES,NA,NA,40148
2631,YES,NA,NA,36223
40347,YES,98%,351,42686
12329,NA,80%,5,153370
7835,YES,95%,314,39345
5884,YES,NA,NA,43286
2059,YES,100%,5,41475
11205,YES,NA,NA,38069
14152,YES,NA,NA,38222
6783,YES,NA,NA,40698
5062,YES,NA,NA,40579
19390,YES,88%,86,38975
4247,YES,98%,230,35716
11030,YES,88%,99,36720
8851,YES,NA,NA,36363
5478,YES,NA,NA,44455
18066,YES,72%,50,35857
18066,YES,72%,50,38125
18066,YES,72%,50,133065
9206,YES,NA,NA,42798
3891,YES,NA,NA,42340
37656,YES,86%,129,42066
3409,YES,NA,NA,37084
6001,YES,100%,7,43704
84819,YES,NA,NA,40422
14196,YES,NA,NA,44648
5262,YES,71%,14,42319
12831,YES,86%,401,38851
14441,YES,83%,440,36849
2369,YES,NA,NA,44363
11966,YES,87%,157,43168
10416,YES,94%,544,36328
13315,YES,NA,NA,39880
11583,YES,85%,80,41589
3339,YES,NA,NA,43599
2889,YES,92%,106,110102
4109,YES,NA,NA,35730
14524,YES,82%,462,35286
24071,YES,91%,314,37033
24071,YES,91%,314,43534
24071,YES,91%,314,43469
13026,YES,NA,NA,35679
6205,YES,71%,7,41875
6205,YES,71%,7,35638
6205,YES,71%,7,35392
32197,YES,NA,NA,35401
14988,YES,NA,NA,42574
14988,YES,NA,NA,41336
3950,YES,NA,NA,36561
13687,YES,96%,73,38786
18892,YES,74%,31,44626
10780,YES,NA,NA,44121
2818,YES,NA,NA,44252
9116,YES,NA,NA,41992
8079,YES,71%,138,41458
29703,NA,25%,8,35288
2194,YES,81%,42,38364
78,NA,NA,NA,151819
4242,YES,95%,43,42723
10951,YES,94%,18,37898
2980,YES,77%,13,43040
4360,YES,94%,185,36338
4820,YES,NA,NA,35808
11854,YES,89%,300,45108
2412,YES,94%,140,45237
7186,YES,80%,5,42958
12934,YES,60%,5,37061
6464,YES,73%,11,35252
8403,YES,NA,NA,112087
12539,YES,90%,119,39135
17353,YES,NA,NA,42891
17353,YES,NA,NA,133089
26534,YES,83%,46,41574
3514,YES,NA,NA,42644
5550,YES,91%,92,43754
7169,YES,79%,38,40541
11082,YES,NA,NA,43199
13499,YES,NA,NA,40142
14123,YES,80%,458,38309
4768,YES,NA,NA,43535
2011,YES,NA,NA,40156
8622,YES,94%,35,35220
4851,YES,91%,55,41491
,,,,149356
9660,YES,90%,50,36634
8229,YES,94%,93,39612
7727,YES,93%,81,39901
8987,YES,NA,NA,44092
1636,YES,NA,NA,38521
5180,YES,100%,16,43706
6685,YES,NA,NA,36641
15155,YES,94%,50,37034
9633,YES,100%,26,41325
3130,NA,NA,NA,152039
5467,YES,NA,NA,36531
11736,YES,NA,NA,37004
10833,YES,NA,NA,45199
10833,YES,NA,NA,45200
1966,YES,100%,5,41644
19002,YES,NA,NA,38014
10225,YES,88%,104,42787
8370,YES,89%,47,41004
14123,YES,87%,204,36866
17085,YES,79%,48,36954
3799,YES,93%,145,36240
27294,YES,93%,132,38244
15033,YES,86%,35,35687
15033,YES,86%,35,42682
26014,YES,NA,NA,40417
6553,YES,NA,NA,45183
6553,YES,NA,NA,45184
14548,NA,75%,48,153093
10335,YES,NA,NA,36687
4160,YES,NA,NA,38207
8936,YES,81%,64,44024
5750,YES,97%,191,44494
12469,YES,NA,NA,37325
10679,YES,87%,171,43983
4885,YES,89%,108,37223
8449,YES,82%,66,35880
9038,YES,NA,NA,40974
16373,YES,NA,NA,38158
14137,YES,90%,130,38579
8938,YES,NA,NA,35329
4346,YES,92%,24,43659
9226,YES,95%,252,40245
22812,YES,92%,12,35503
12407,YES,NA,NA,41410
12407,YES,NA,NA,42470
7230,YES,NA,NA,40564
3030,YES,NA,NA,35388
13798,YES,76%,165,41413
4115,YES,NA,NA,38269
2622,YES,NA,NA,40900
13368,YES,91%,163,44292
6140,YES,65%,31,36263
15379,YES,89%,590,45231
10037,YES,NA,NA,37575
14051,YES,84%,128,43829
6353,YES,92%,52,41542
7198,YES,88%,139,37461
13421,YES,NA,NA,40457
15607,YES,NA,NA,41738
15607,YES,NA,NA,43481
10235,YES,78%,9,41614
5468,YES,93%,44,38822
33083,YES,95%,149,43114
7792,YES,NA,NA,37027
3959,YES,NA,NA,43189
9205,YES,88%,170,39891
4938,YES,75%,32,38346
2715,YES,NA,NA,41839
20236,YES,NA,NA,39512
13383,YES,NA,NA,43030
24073,YES,90%,141,40035
14666,YES,84%,69,39987
6219,YES,NA,NA,38250
11537,YES,90%,394,40021
14659,YES,70%,809,39152
5732,YES,94%,249,36242
10410,YES,87%,197,42063
10594,NA,NA,NA,151912
2385,YES,81%,36,42823
10018,YES,100%,9,37366
2814,NA,NA,NA,151842
6052,YES,NA,NA,41707
6802,YES,NA,NA,41142
12457,YES,NA,NA,42598
4795,YES,NA,NA,43142
12764,YES,NA,NA,35969
49327,YES,92%,497,91278
24830,YES,88%,119,43334
7671,YES,89%,18,43076
18763,YES,79%,316,44359
7789,YES,NA,NA,39501
19972,NA,78%,50,38491
19972,YES,78%,50,36918
12006,YES,75%,51,43499
14945,YES,100%,15,38030
11804,YES,87%,87,35858
4500,YES,91%,66,39977
11596,YES,100%,8,41170
12945,YES,100%,17,36882
14005,YES,100%,12,41409
7671,YES,89%,18,43067
13304,NA,90%,20,151955
11727,YES,NA,NA,44835
11727,YES,NA,NA,42366
6627,YES,96%,134,35375
10470,YES,95%,19,38793
10092,YES,NA,NA,36650
11335,YES,96%,627,41989
2852,YES,NA,NA,44303
6631,YES,NA,NA,43287
6559,YES,NA,NA,35487
2465,YES,90%,10,38140
8985,YES,96%,28,38780
805,YES,NA,NA,42663
13547,YES,81%,240,40289
9333,YES,NA,NA,40783
2695,YES,92%,12,41883
5065,YES,91%,100,43124
8518,YES,NA,NA,37949
51717,NA,NA,NA,152064
7970,YES,NA,NA,40926
5801,YES,95%,1055,41022
15593,YES,89%,89,35663
3564,YES,NA,NA,41092
6138,YES,NA,NA,44725
13226,YES,NA,NA,40226
9652,YES,NA,NA,44014
5219,YES,NA,NA,40854
13326,YES,NA,NA,37765
7447,YES,NA,NA,38268
26014,NA,NA,NA,151926
14293,YES,95%,75,43579
5162,YES,100%,5,41268
3842,YES,NA,NA,42275
8711,YES,92%,316,36942
12660,YES,86%,14,36697
7123,YES,NA,NA,37775
16066,YES,NA,NA,38513
5940,NA,NA,NA,152093
12878,YES,NA,NA,41531
10624,YES,NA,NA,130455
5794,YES,NA,NA,35915
6402,YES,76%,79,36064
4673,YES,NA,NA,38984
13403,YES,97%,75,40376
10826,YES,88%,114,40468
7874,YES,90%,10,37265
9444,YES,NA,NA,44466
15431,NA,NA,NA,37198
6936,YES,NA,NA,41282
3808,YES,93%,29,39266
29227,YES,NA,NA,44951
14511,YES,90%,10,37842
4817,YES,NA,NA,39919
8105,YES,NA,NA,40679
3567,YES,NA,NA,38686
10590,YES,NA,NA,35588
11491,YES,94%,16,35393
58581,YES,53%,17,38730
13705,YES,84%,73,40300
9430,YES,17%,6,37693
7178,YES,96%,46,42923
9926,YES,NA,NA,39701
7349,YES,NA,NA,37106
13708,YES,78%,340,43198
8404,YES,80%,46,35600
6917,YES,NA,NA,39046
11752,YES,NA,NA,43261
3429,YES,100%,10,41914
10715,YES,86%,100,43373
10501,YES,82%,109,36713
9651,YES,92%,38,44927
4703,YES,100%,26,38152
10390,YES,94%,330,35694
11060,YES,100%,12,36707
18763,NA,79%,316,152882
13339,YES,88%,26,40378
13339,YES,88%,26,41814
2127,YES,NA,NA,40746
2127,YES,NA,NA,39660
13789,YES,95%,702,44398
13386,NA,92%,381,152033
14051,YES,84%,128,44857
16798,NA,NA,NA,152059
2500,YES,NA,NA,38424
18690,YES,91%,117,36220
3229,YES,NA,NA,38138
11831,YES,NA,NA,40439
4905,YES,NA,NA,36314
4461,YES,NA,NA,39998
6936,YES,NA,NA,35516
6936,YES,NA,NA,39084
2422,YES,80%,5,41217
8325,YES,95%,189,46207
20031,YES,NA,NA,44503
9475,YES,NA,NA,42189
32197,YES,NA,NA,42865
37489,YES,88%,242,39140
12206,YES,100%,6,44786
2734,YES,NA,NA,39762
11403,YES,89%,262,35758
9541,YES,NA,NA,40540
14078,YES,93%,43,39409
21354,YES,73%,316,44293
6120,YES,NA,NA,44131
38423,NA,NA,NA,152090
8749,YES,NA,NA,42534
3364,YES,NA,NA,41813
11103,YES,92%,130,35703
7691,YES,NA,NA,42493
12625,YES,96%,501,35723
2480,YES,89%,90,39554
5051,YES,80%,10,37599
19108,YES,NA,NA,84734
5038,YES,94%,49,40772
5537,YES,94%,32,41108
9225,YES,83%,166,39485
4105,YES,NA,NA,40270
5562,YES,96%,184,35984
10905,YES,94%,692,40064
6162,YES,NA,NA,38659
13850,YES,NA,NA,36586
8906,YES,86%,22,37234
11440,YES,NA,NA,41665
9630,YES,NA,NA,35254
5095,YES,NA,NA,45270
10943,YES,96%,50,39041
4443,YES,NA,NA,39214
12391,YES,73%,41,38081
12193,YES,NA,NA,39642
4089,YES,NA,NA,35917
6062,YES,NA,NA,43585
5274,YES,NA,NA,44327
5274,YES,NA,NA,36207
8407,YES,NA,NA,40490
6681,YES,100%,29,41188
4562,YES,NA,NA,43975
19662,YES,92%,651,35532
21354,YES,73%,316,39316
9358,YES,NA,NA,43999
856,YES,NA,NA,42697
15335,YES,85%,376,45864
15335,YES,85%,376,39656
3347,YES,NA,NA,36647
3347,YES,NA,NA,35546
43028,YES,NA,NA,38145
8040,YES,100%,33,38540
8231,YES,NA,NA,36826
5015,YES,NA,NA,42065
20298,YES,88%,8,40383
1899,YES,100%,5,35824
7810,YES,95%,37,40410
11403,YES,89%,262,39544
6799,YES,NA,NA,45283
8120,YES,NA,NA,39629
12943,YES,90%,10,40778
14231,YES,NA,NA,40238
4489,YES,87%,46,35976
10436,YES,NA,NA,112415
5833,YES,96%,27,42260
4737,YES,100%,47,40817
4165,NA,NA,NA,151996
10672,YES,NA,NA,42782
3395,YES,NA,NA,42228
12370,YES,NA,NA,40062
12370,YES,NA,NA,38285
14545,NA,96%,78,151827
11576,NA,NA,NA,151826
10431,YES,NA,NA,45009
4376,YES,60%,5,37137
10018,YES,NA,NA,89986
7657,YES,100%,11,43486
4746,YES,NA,NA,42766
7463,YES,87%,15,36695
6839,YES,77%,121,38926
13912,YES,86%,37,37397
4844,YES,NA,NA,37663
10608,YES,NA,NA,39520
9951,YES,95%,543,38023
9951,YES,95%,543,36040
25266,NA,62%,21,41552
5273,NA,NA,NA,151864
8651,YES,NA,NA,40022
7064,YES,NA,NA,42858
12943,NA,90%,10,152135
7215,YES,92%,13,42754
10344,YES,NA,NA,38636
12536,YES,NA,NA,38308
10548,YES,95%,94,42949
2583,YES,NA,NA,40931
7423,YES,95%,19,39738
2809,YES,NA,NA,39727
9268,YES,NA,NA,41699
8547,YES,NA,NA,40278
8547,YES,NA,NA,37800
71764,YES,NA,NA,39837
23473,YES,89%,508,36694
23473,YES,89%,508,41764
NA,YES,NA,NA,43658
2323,YES,NA,NA,42638
40150,YES,NA,NA,119937
40150,YES,NA,NA,37296
40150,YES,NA,NA,119938
40150,YES,NA,NA,119939
40150,YES,NA,NA,119940
40150,YES,NA,NA,119941
6020,YES,89%,174,40518
42016,YES,86%,181,38334
3013,YES,NA,NA,37053
12444,YES,73%,101,42051
6554,YES,NA,NA,38471
8816,YES,93%,191,40249
16888,YES,91%,46,39741
18784,YES,NA,NA,42717
5913,YES,NA,NA,44022
7385,NA,91%,33,152061
6789,YES,84%,31,38001
15530,NA,100%,13,153344
6854,YES,60%,5,37985
21349,YES,NA,NA,37932
3952,YES,NA,NA,38136
11173,YES,94%,63,37779
10558,YES,95%,626,36260
7167,YES,91%,86,41541
43262,YES,23%,13,130452
43262,NA,23%,13,124126
43262,YES,23%,13,130453
43262,YES,23%,13,42795
43262,YES,23%,13,43409
15658,YES,78%,9,39081
7896,YES,NA,NA,43993
8316,YES,NA,NA,37904
6660,YES,91%,122,37362
6347,YES,NA,NA,36022
7968,YES,NA,NA,44255
8268,YES,92%,25,40855
17857,YES,NA,NA,35284
6756,YES,83%,18,38703
7935,YES,97%,345,37169
3722,YES,92%,59,41281
12314,YES,NA,NA,36270
7118,YES,NA,NA,42069
12096,YES,NA,NA,42276
3496,YES,95%,137,38153
7208,YES,92%,50,44345
5459,YES,NA,NA,38587
4969,YES,NA,NA,37652
10228,YES,NA,NA,42738
9134,YES,NA,NA,43089
13510,YES,95%,357,39974
9619,YES,NA,NA,35757
11294,YES,NA,NA,38010
544,YES,NA,NA,39322
12780,NA,94%,100,152084
23719,YES,96%,24,37536
7450,YES,NA,NA,41025
1027,YES,NA,NA,39887
8362,YES,75%,12,41298
4211,YES,84%,32,41199
3277,YES,92%,49,36751
2404,YES,100%,15,43896
4957,YES,NA,NA,39371
6454,YES,NA,NA,45775
16769,YES,NA,NA,44989
19358,YES,98%,560,46190
13399,YES,94%,422,42439
8316,YES,NA,NA,44999
3533,YES,NA,NA,38304
20295,YES,73%,100,42941
5426,YES,81%,27,37094
6988,YES,98%,44,36541
6340,YES,72%,25,35931
15431,YES,NA,NA,44611
10800,YES,97%,302,42142
9590,YES,91%,92,38638
7451,YES,NA,NA,35721
5555,YES,90%,10,44143
5842,YES,96%,108,45212
10062,YES,92%,491,41829
8252,YES,NA,NA,35966
11056,YES,NA,NA,36869
7402,YES,97%,36,36913
